,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
98,Haiti,2016,3.352300167,7.410928726,0.58374244,53.09737778,0.303540409,0.294325322,0.838523149,0.552774072,0.367341012,0.146064624,-0.702020884,-1.410874009,2.188143969,0.652729154,0.409,0.613710284
99,Haiti,2017,3.823865652,7.403176308,0.646984994,53.34700775,0.484429151,0.384510309,0.647191584,0.573366702,0.321692765,0.435076952,NA,NA,2.15694499,0.564074457,0.409,0.574473023
100,Honduras,2016,5.648154736,8.387600899,0.773909986,63.58427429,0.850046694,0.087086849,0.792875171,0.832396746,0.296846688,0.389274508,-0.395389467,-0.761657715,2.970618963,0.525945067,0.5556,0.529477537
101,Honduras,2017,6.019985676,8.404379845,0.84335494,63.75267029,0.898377419,0.080074072,0.783429444,0.842200935,0.248383343,0.495585024,NA,NA,2.963586092,0.492291212,0.5556,0.561559021
102,Hong Kong S.A.R. of China,2016,5.498420715,10.90189648,0.83207792,76.26802826,0.799743414,0.082167558,0.40281257,0.664092779,0.213114589,0.449610382,0.55514127,1.821865916,1.819238186,0.330865592,NA,0.513228953
103,Hong Kong S.A.R. of China,2017,5.362474918,10.91716671,0.83106631,76.53636169,0.830657244,0.122934707,0.415810198,0.63953346,0.200593412,0.545040727,NA,NA,1.784559488,0.33278653,NA,0.471278399
104,Hungary,2016,5.448901653,10.15244865,0.899511576,67.01950836,0.55395174,-0.198393941,0.924185812,0.66591078,0.24332577,0.30377233,0.542590141,0.411992431,1.845377684,0.338669658,0.296818182,0.301498115
105,Hungary,2017,6.065038681,10.19323826,0.876747549,67.193367,0.661165953,-0.150793031,0.886361301,0.735184252,0.180921271,0.377770513,NA,NA,1.792409182,0.295531362,0.296818182,0.330753207
106,Iceland,2016,7.510034561,10.72054195,0.984940052,72.75598145,0.951609552,0.272110164,0.719299555,0.873887897,0.158169165,0.363518298,1.33810854,1.545734048,1.571246386,0.20921959,0.280090909,0.340639085
107,Iceland,2017,7.476213932,10.76040936,0.966752827,72.75598145,0.938783288,0.235478714,0.726845384,0.895254552,0.148160011,0.365041941,NA,NA,1.630090833,0.21803695,0.280090909,0.332437903
